"Gene.names","mIMCD_1","mIMCD_2","mIMCD_3","mIMCD_4"
"ZSCAN25",244.30833282859,255.368245509906,263.291684745125,259.294187221072
"OR52N4",0,0,0,0
"OR51E1",0,0,0,0
"ART5",0,0.562485122268516,0.249329246917732,0
"XNTRPC",7.27547142102749,5.98484170093701,8.72153705718227,10.70198710712
"RNF121",423.826300661756,388.114734365276,380.227101549542,393.392066990996
"IL18BP",8.70700557250738,8.43727683402774,3.98926795068372,5.16865489477221
"SERPINH1",1304.77039388015,1227.62377935104,1267.83922057667,1268.04333418412
"OR5AF2",0,0,0,0
"GM10291",0.256088399191394,0,0,0.287147494154012
"VMN2R89",0,0,0,0
"VMN2R73",0,0,0,0
"OR5AE1",0,0,0,0
"OR5AE2",0,0,0,0
"9230112E08RIK",28.1697239110533,29.5304689190971,16.2064010496526,23.546094520629
"TLNRD1",612.307362466622,600.734110582775,586.671717997424,588.36521552157
"CCL26",0,0,0,0
"GM9696",0,0,0,0
"ADAMTSL3",0,0,0,0
"ERICH6",0,0,0.249329246917732,0.287147494154012
"CLDN3",1626.67351166373,1624.45703311147,1614.65620303923,1700.48746038006
"FAM217B",0,0,0,0
"4930527J03RIK",0,0,0,0
"GM10293",0.517298566366615,0,1.01477003495517,0.591523837957264
"CHCHD2",5254.84175958369,5374.35128590849,5172.93860408589,5448.79599006886
"CTCFL",0,0,0,0
"TMEM132B",0,0,0,0.574294988308023
"IFI214",0,0,0,0
"FCRL6",0,0,0,0
"RGMA",212.809459728048,181.120209370462,206.444616447882,196.408886001344
"NSMCE3",274.014587134791,295.023446629837,288.723267930734,294.90047649617
"GM6505",18.0977671708558,15.2011604293066,14.3813109622148,18.5899287715307
"FCRLB",0,0,0,0
"PEG12",0,0,0,0
"MKRN3",11.0118011652299,12.9371578121759,10.9704868643802,11.7730472603145
"WFDC10",0,0,0,0
"WFDC16",0,0,0,0
"WFDC6B",0,0,0,0
"CCDC190",0,0,0.249329246917732,0
"WFDC8",0,0,0,0
"TOP1",1438.44853825806,1471.46107985444,1500.71273719783,1436.02461826421
"MRGPRB3",0,0,0,0
"MRGPRB1",0,0,0,0
"MRGPRB4",0,0,0,0
"MRGPRB5",0,0,0,0
"MRGPRX1",0,0,0,0
"SPACA4",0,0,0,0.574294988308023
"NTN5",0,0,0,0
"RASAL2",438.167251016474,437.118438217309,444.11772107221,429.30847555978
"SLC6A21",0,0,0,0
"SLC17A7",1.53653039514836,2.53118305020832,2.74262171609505,2.01003245907808
"TRMT112-PS2",0.768265197574181,1.40621280567129,1.24664623458866,0.861442482462035
"2310016G11RIK",0,0,0,0
"MN1",0,0,0.747987740753197,0
"GM572",0,0,0,0
"FV1",82.2043761404373,100.966079447199,96.2410893102446,90.4514606585136
"CFHR4",0,0,0,0
"VMN2R84",0,0,0,0
"VSIG10L",19.9748951369287,17.7182813514583,18.9490227657476,12.6344897427765
"ZFP992",96.1279024044734,119.123099194026,115.731156541804,101.288407087886
"GM10298",0,0,0,0
"AADACL4",0,0,0,0
"GM13127",43.294304767297,44.4363246592128,36.9007285438244,43.1238106720495
"GM13040",0,0,0,0
"PRAMEL23",0,0,0,0
"PRAMEL20",0,0,0,0
"PRAMEL31",0,0,0,0.287147494154012
"VMN2R-PS60",0,0,0,0
"SRARP",0,0,0,0
"LRRC8B",1151.88561956289,1141.84479820509,1216.47739571162,1179.31475849053
"GM16410",0,0,0,0
"SOX13",267.356288755815,292.773506140763,263.541013992043,242.065337571832
"ETNK2",59.4125086124033,50.6236610041664,64.0776164578572,68.6282511028088
"REN1",0,0,0,0
"RNF186",2.04870719353115,1.40621280567129,3.98926795068372,3.15862243569413
"RPL31-PS10",0,0,0,0
"PRAMEL48",0,0.281242561134258,0,0
"LACTBL1",0,0,0,0
"PRAMEL34",0,0,0,0
"HTR1D",17.4140111450148,18.2807664737268,20.1956690003363,18.9517346141648
"ALBFM1",0.256088399191394,0.562485122268516,0,0
"RUNX3",0,0,0,0
"RPS12-PS10",0,0,0,0
"CNTNAP5A",0,0,0,0
"UTP3",1077.36389539819,1105.8457503799,1061.14527488187,1123.60814462465
"SARS2",131.629437184376,132.465246294236,115.43944132291,130.077814851767
"CSN1S1",0,0,0,0
"UGT2B36",0,0,0,0.287147494154012
"EID2B",60.4368622091689,69.748155161296,63.5789579640217,72.0740210326569
"GTSF1L",0,0,0,0
"ZFP974",70.0222509909028,71.078432475461,78.3691688911816,74.2448560884612
"HMGN2-PS",571.386997159829,605.647418125791,693.90822709674,643.339603277355
