"Gene.names","mIMCD_1","mIMCD_2","mIMCD_3","mIMCD_4"
"UBL3",2021.05,1958.01,1892.16,2005.15
"GRAMD3",188.22,210.65,202.46,188.94
"EEF1E1",280.67,271.4,254.57,262.17
"AKT1",2861.02,2915.36,2914.16,2966.81
"CLDN15",1.54,1.69,1,2.3
"IL16",0,0,0,0
"TCIRG1",761.09,794.51,752.48,755.77
"NAGLU",479.4,505.67,471.73,505.38
"COASY",450.46,448.58,427.35,439.62
"SMO",1736.28,1590.71,1686.71,1755.91
"TSPAN33",1028.45,1029.91,991.83,1008.46
"CRNKL1",699.12,687.92,675.18,744.86
"RIN2",595.66,597.08,584.18,636.03
"FOLH1",0,0,0,0
"CHORDC1",439.96,444.93,471.48,456.56
"RTCB",1565.47,1589.3,1518.42,1574.72
"PWP1",739.33,702.54,714.33,733.09
"FBXO7",308.59,360.55,354.55,333.95
"CAPNS1",2479.19,2478.31,2323.75,2426.11
"LRP3",0,0.28,0,0
"DSG4",2.56,3.66,3.24,3.45
"EVX2",0,0,0,0
"HOXD13",0,0,0,0
"HOXD12",0,0,0,0
"FOLR1",13.83,19.41,18.2,23.83
"CLPB",463.52,435.36,441.81,436.46
"SEPTIN7",2286.1,2348.38,2276.63,2238.31
"ZDHHC4",368.26,343.96,349.81,373.87
"RAC1",4625.29,4561.05,4779.33,4705.46
"NUP214",930.37,937.38,951.44,876.37
"AIF1L",1566.49,1421.12,1439.38,1509.53
"CPA3",0,0,0,0
"LTBP1",79.39,78.19,84.77,99.93
"UGP2",685.04,719.7,724.8,737.11
"KCNH6",0,0.28,0,0
"TRMT1",849.19,861.73,800.85,833.01
"NACC1",2931.95,2969.35,3047.79,3054.39
"NFIX",955.47,1001.22,1023.25,995.54
"SLC1A5",372.61,356.33,335.1,330.22
"UBA1",2989.32,2866.14,2823.4,2870.9
"VWF",0.26,1.41,0.5,0
"SIAE",277.09,256.21,275.76,282.27
"VSIG2",0,0,0,0
"ESAM",0.51,0.28,0,0.86
"SPA17",19.97,21.66,21.44,22.68
"FAM50A",477.6,513.83,488.44,532.66
"EMD",502.48,494.71,498.09,507.97
"TACO1",162.3,165.64,163.79,153.6
"GRIK3",0,0,0,0
"GRIA3",0,0,0,0
"NPAS1",4.35,3.94,7.98,5.46
"SIPA1L2",281.7,303.74,287.48,295.47
"AP4E1",316.01,345.08,329.86,319.6
"BLVRA",387.21,350.15,317.65,369.85
"PDZD4",327.02,340.3,306.43,323.62
"SRPK3",10.5,8.72,7.98,7.47
"IDH3G",474.79,460.68,451.29,476.38
"PNCK",0,0,0,0
"SSR4",371.58,364.21,302.19,354.05
"BCAP31",1122.69,1089.25,1095.55,1155.19
"FAM98A",592.84,573.73,616.59,622.82
"LTBP2",0.51,2.81,4.49,1.72
"KMT2A",594.64,660.92,703.61,586.93
"IFT46",360.06,400.21,345.07,374.73
"TMEM25",40.97,38.81,37.9,46.23
"CD3G",0,0,0,0
"TRAPPC6A",355.19,307.96,306.18,325.34
"SUPT6",2081.35,2079.22,2213.87,1997.83
"SPAG5",1155.21,1274.31,1266.09,1245.36
"FOXN1",3.33,0.84,2.74,2.87
"UNC119",511.66,441.55,455.03,485.57
"RAB34",549.05,570.64,510.88,565.39
"SDF2",628.33,654.46,591.33,623.83
"CCNE1",261.47,247.21,256.56,266.19
"HSF2BP",2.82,2.81,1.5,3.45
"BBC3",133.68,122.9,113.2,134.67
"MYBPC3",0,0,0,0
"PSMC3",2433.86,2392.81,2424.23,2472.05
"ACP2",598.73,615.39,618.2,594.76
"RAPSN",0.26,0.28,0.25,1.44
"SLC39A13",188.48,207.56,192.98,198.71
"CELF2",490.15,494.99,526.33,431.58
"NR1H3",1.79,1.41,1,0
"DDB2",235.61,228.62,238.5,224.76
