"Gene.names","HK2_01","HK2_02"
"angel1",6.52,6.28
"angel2",23.11,22.93
"angpt1",0,0.02
"angpt2",0.01,0.12
"angpt4",0.01,0.04
"angptl1",0.01,0.14
"angptl2",2.55,13.85
"angptl3",0.01,0
"angptl4",694.47,21.35
"angptl6",2.03,1.53
"angptl7",0,0.26
"angptl8",0,0.64
"ank1",0,0.06
"ank2",3.03,2.61
"ank3",0.34,0.36
"ankar",1.65,4.05
"ankdd1a",0.38,0.97
"ankdd1b",0.1,0.5
"ankef1",2.76,6.03
"ankfn1",0.57,0.3
"ankfy1",13.39,10.3
"ankhd1",26.41,31.22
"ankib1",6.72,9.1
"ankk1",0,0.02
"ankle1",11.79,19.3
"ankle2",60.94,55.51
"ankmy1",8.47,11.36
"ankmy2",28.53,25.02
"ankra2",11.07,8.97
"ankrd1",1.16,3.93
"ankrd10",56.39,115.69
"ankrd11",57.4,70.86
"ankrd12",37.86,26.4
"ankrd13a",34.01,22.44
"ankrd13b",2.28,2.11
"ankrd13c",16.58,17.29
"ankrd13d",13.59,19.87
"ankrd16",5.34,5.74
"ankrd17",13.9,18.44
"ankrd2",0.27,0.97
"ankrd22",0,0.03
"ankrd23",0.17,0.76
"ankrd24",0.71,1.69
"ankrd26",2.31,4.51
"ankrd27",35.88,26.11
"ankrd28",19.78,16.54
"ankrd29",8.81,15.77
"ankrd33",0,0.08
"ankrd33b",1.91,1.27
"ankrd34a",0.21,0.3
"ankrd34b",0.14,0.25
"ankrd34c",0,0.01
"ankrd35",0,0.01
"ankrd36",14.35,24.23
"ankrd37",21.87,9.65
"ankrd39",41.5,36.64
"ankrd40",7.17,5.56
"ankrd42",5.96,7.96
"ankrd44",4.5,9.06
"ankrd45",0.1,0.05
"ankrd46",10.55,9.26
"ankrd49",9.67,8.33
"ankrd50",3.42,2.77
"ankrd52",12.32,21.69
"ankrd53",0,0
"ankrd54",32.1,33.14
"ankrd55",0.02,0.22
"ankrd6",5.66,8.61
"ankrd60",0,0
"ankrd61",0.3,0.55
"ankrd63",0,0.04
"ankrd65",0,0.27
"ankrd66",0,0
"ankrd7",2.76,5.4
"ankrd9",18.94,54.46
"anks1b",2.18,1.73
"anks3",10.67,16.99
"anks4b",0,0.07
"anks6",28.32,27.92
"ankub1",0,0
"ankzf1",158.29,78.97
"anln",105.01,63.3
"ano1",0,0.05
"ano10",41.96,39.95
"ano2",0.18,1.05
"ano3",0,0.04
"ano4",0,0
"ano5",0.3,0.57
"ano6",46.63,42.37
"ano7",7.85,4.78
"ano8",0.05,0.44
"ano9",0.46,2.19
"anp32a",40.4,67.5
"anp32b",96.34,127.28
"anp32e",82.69,44.25
"anpep",7.28,1.77
"antxr1",6.88,8.72
"antxr2",5.85,5.42
"antxrl",0,0
"anxa1",96.79,86.7
"anxa10",0,0.19
"anxa11",111.15,143.24
"anxa13",0,0.22
"anxa2",1881.09,1511.07
"anxa3",25.51,43.45
"anxa4",226.01,190.06
"anxa5",1304.38,924.77
"anxa6",43.04,53.06
"anxa7",204.88,199.4
"anxa8",0.27,0.33
"anxa9",1.29,1.45
"aoah",0,0.21
"aoc1",0.16,0.04
"aoc2",0.59,0.32
"aoc3",0.15,0.11
"aopep",20.47,35.26
"aox1",4.24,0.46
"ap1ar",18.2,16.86
"ap1b1",20.9,19.51
"ap1g1",23.56,27.3
"ap1g2",105.27,109.55
"ap1m1",125.32,144.11
"ap1m2",49.04,55.63
"ap1s1",23.38,38.11
"ap1s2",80.94,35.87
"ap1s3",24.66,15.01
"ap2a1",9.63,10.95
"ap2b1",43.92,46.49
"ap2m1",927.17,958.04
"ap2s1",239.84,309.8
"ap3b1",20.8,17.49
"ap3b2",1.08,4.14
"ap3d1",61,99.02
"ap3m1",60.44,40.07
"ap3m2",23.39,28.88
"ap3s1",88.63,56.33
"ap3s2",22.48,21.79
"ap4b1",9.75,14.32
"ap4e1",1.76,1.5
"ap4m1",23.21,35.6
"ap4s1",2.13,3.22
"ap5b1",5.58,6.73
"ap5m1",31.33,30.58
"ap5s1",16.04,26.3
"ap5z1",20.12,33.8
"apaf1",4.86,6.7
"apba1",0.02,0.07
"apba2",14.06,13.23
"apbb1",1.85,1.91
"apbb1ip",7.95,13.2
"apbb2",16.13,8.9
"apc",6.66,13.48
"apc2",0.06,0.39
"apcdd1",0,0.21
"apcs",0,0
"apeh",214.89,277.06
"apela",0,0
"apex1",196.45,203.4
"apex2",38.9,46.44
"aph1a",15.28,26.2
"aph1b",0.03,0.1
"api5",96.35,68.64
"apip",22.81,16.98
"aplf",3.88,3.5
"apln",1.71,0.04
"aplnr",0,0.05
"aplp1",29.59,21.22
"aplp2",449.43,524.47
"apmap",335.41,234.14
"apoa1",0,0.16
"apoa2",0,0.72
"apoa4",0,0
"apoa5",0,0.02
"apob",0,0.03
"apobec1",0,0
"apobec2",0.04,0.16
"apobec4",0,0
"apobr",0,0.1
"apoc1",19.07,80.58
"apoc2",0,0
"apoc3",0,0
"apoc4",0,0.09
"apod",0,0
"apoe",23.92,221.31
"apof",0,0.15
"apoh",0,0.07
"apol6",1.73,3.4
"apold1",0.6,1.52
"apoo",101.91,86.84
"apool",2.02,5.44
"apopt1",58.46,60.92
"app",46.23,115.79
"appbp2",17.46,24.65
"appl1",38.72,58.72
"appl2",31.55,23.68
"aprt",211.12,226.5
"aptx",52.52,45.91
"aqp1",0.06,0.41
"aqp11",1,2.18
"aqp2",0,0.03
"aqp3",0.37,2.96
"aqp4",0.04,0.21
"aqp5",0,0.03
"aqp6",0,0.02
"aqp7",0.02,1.3
"aqp8",0,0.07
"aqp9",0,0.15
"aqr",10.61,10.54
"ar",0.06,0.03
