"Gene.names","X3d_wt_24h_1","X3d_wt_24h_2","X3d_wt_24h_3","X3d_wt_24h_4","X3d_wt_72h_1","X3d_wt_72h_2","X3d_wt_72h_3","X3d_wt_72h_4","X3d_wt_7d_1","X3d_wt_7d_2","X3d_wt_7d_3","X3d_wt_7d_4"
"SCGB1B3",0,0,0,0,0,0,0,0,0,0,0,0
"GM2163",0,0,0,0,0,0,0,0,0,0,0,0
"GM14357",0,0,0,0,0,0,0,0,0,0,0,0
"GM17391",0,0,0,0,0,0,0,0,0,0,0,0
"GM21893",0,0.313407264178454,0,0,0.312508604924437,0,0,0,0,0,0,0
"GM21094",0,0,0,0,0,0,0,0,0,0,0,0
"GM5225",0,0,0,0,0,0,0,0,0,0,0,0
"SSTY1",0,0,0,0,0,0,0,0,0,0,0,0
"MIR466B-8",0,0,0,0,0,0,0,0,0,0,0,0
"IFNA9",0,0,0,0,0,0,0,0,0,0,0,0
"VMN1R142",0,0,0,0,0,0,0,0,0,0,0,0
"OBOX4-PS27",0,0,0,0,0,0,0,0,0,0,0,0
"VMN1R107",0,0,0,0,0,0,0,0,0,0,0,0
"GFY",0,0,0,0,0,0,0,0,0,0,0,0
"RPS12-PS22",0,0,0,0,0,0,0,0,0,0,0,0
"GM10067",0,0,0,0,0,0,0,0,0,0,0,0
"ASTX1B",0,0,0,0,0,0,0,0,0,0,0,0
"IGHV5-9",0,0,0,0,0,0,0,0,0,0,0,0
"OR2G25",0,0,0,0,0,0,0,0,0,0,0,0
"VMN1R-PS78",0,0,0,0,0,0,0,0,0,0,0,0
"GM7618",0,0,0,0,0,0,0,0,0,0,0,0
"GM12613",0,0,0,0,0,0,0,0,0,0,0,0
"GM10058",0,0,0,0,0,0,0,0,0,0,0,0
"POTEFAM3B",0,1.38212603502698,0.968547440147421,0.643674348177427,0,1.63004466720771,0,0,1.69015511283618,3.28010350442813,0,0.211844358450904
"GM3488",0,0,0,0,0,0,0,0,0,0,0,0
"GM8906",0,0,0,0,0,0,0,0,0,0,0,0
"GM12407",0,0,0,0,0,0,0,0,0,0,0,0
"GM906",0,0,0,0,0,0,0,0,0,0,0,0
"OR5P55",0,0,0,0,0,0,0,0,0,0,0,0
"SSTY2",0,0,0,0,0,0,0,0,0,0,0,0
"PLAC9",0,0,0,0,0,0,0,0,0,0,0,0
"GM12573",0,0,0,0,0,0,0,0,0,0,0,0
"VMN1R125",0,0,0,0,0,0,0,0,0,0,0,0
"OR1E23",0,0,0,0,0,0,0,0,0,0,0,0
"GM10130",0,0.313407264178454,0,0,0,0,0,0,0,0.331323586305871,0,0
"GM21876",0,0,0,0,0,0,0,0,0,0,0,0
"GM8024",0,0,0,0,0,0,0,0,0,0,0,0
"OR8G36",0,0,0,0,0,0,0,0,0,0,0,0
"GM20825",0,0,0,0,0,0,0,0,0,0,0,0
"ZFP870",86.3110711313435,104.991433499782,107.83161500308,89.1488972225736,118.753269871286,97.8026800324626,104.044743595229,106.352183467889,106.817803131246,100.722370236985,87.1028082202733,105.922179225452
"GM14996",0,0,0,0,0,0,0,0,0,0,0,0
"DEFA-PS6",0,0,0,0,0,0,0,0,0,0,0,0
"GM21834",0,0,0,0,0,0,0,0,0,0,0,0
"PTMA-PS1",0,0,0,0,0,0,0,0,0,0,0,0
"GM9821",2.69722097285448,9.52131268574142,8.39407781461098,2.89653456679842,11.2503097772797,9.87807068327873,5.23495565259014,5.08051831852972,4.39440329337406,6.29514813981156,1.82096463178272,4.29829133088791
"GM21984",0.33715262160681,0,0,0.643674348177427,0,0,1.53776822294835,0,0,0.331323586305871,0,0
"IGKV3-5",0,0,0,0,0,0,0,0,0,0,0,0
"IGKV3-9",0,0,0,0,0,0,0,0,0,0,0,0
"ZSCAN4B",1.96897131018377,0.451306460416973,0.639241310497298,0,0,0,0,0.338701221235315,0,0,0,0
"GM428",0,0,0,0,0,0,0,0,0,0,0,0
"GM6838",0,0,0,0,0,0,0,0,0,0,0,0
"GM21821",0,0,0,0,0,0,0,0,0,0,0,0
"GM21905",0,0,0,0,0,0,0,0,0,0,0,0
"GM3892",0,0,0,0,0,0,0,0,0,0,0,0
"GM26097",0,0,0,0,0,0,0,0,0,0,0,0
"IGKV3-2",0,0,0,0,0,0,0,0,0,0,0,0
"GM21783",0,0,0,0,0,0,0,0,0,0,0,0
"GM7398",0,0,0,0,0,0,0,0,0,0,0,0
"VMN1R165",0,0,0,0,0,0,0,0,0,0,0,0
"GM3594",0,0,0,0,0,0,0,0,0,0,0,0
"GM14325",14.3795593115305,39.5300582308284,29.2210762692477,18.193455451235,29.247680334878,29.9080595539271,22.7916881724643,47.8550955483376,43.619523152076,34.818795684884,20.3523147012248,47.4070831716001
"GM4567",0,0,0,0,0,0,0,0,0,0,0,0
"RBM31Y",0,0,0,0,0,0,0,0,0,0,0,0
"GM21860",2.029658782073,2.16251012283133,0.768380969183621,1.35493450291348,0,1.03018822967527,0,0.663854393621217,0.243382336248409,0.318070642853637,0,0
"GM3012",0,0,0,0,0,0,0,0,0,0,0,0
"GM21859",0,0.626814528356907,1.93709488029484,1.93102304453228,0,0.326008933441542,1.30873891314754,0.338701221235315,1.35212409026894,1.65661793152936,0.910482315891359,0.921062428047409
"TRAV6N-7",0,0,0,0,0,0,0,0,0,0,0,0
"GM9611",0,0,0,0,0,0,0,0,0,0,0,0
"OR2H1",0,0.313407264178454,0,0,0,0,0,0,0,0,0,0.307020809349136
"VMN1R152",0,0,0,0,0,0,0,0,0,0,0,0
"1700001F09RIK",0,0.313407264178454,0,0,0.93752581477331,3.14272611837647,5.56214038087703,5.31760917339444,0.338031022567235,1.32529434522349,4.55241157945679,1.84212485609482
"D630033O11RIK",0,0,0,0,0,0,0,0,0,0,0,0
"GM17662",0,0,0,0,0,0,0,0,0,0,0,0
"TRAV6D-4",0,0,0,0,0,0,0,0,0,0,0,0
"HSD3B8",0,0,0.645698293431614,1.77010445748792,0.156254302462218,0,0,1.18884128653596,0,0,0,0
"OR8G2",0,0,0,0,0,0,0,0,0,0,0,0
"GM7350",0,0,0,0,0,0,0,0,0,0,0,0
"GM25485",0,0,0,0,0,0,0,0,0,0,0,0
"GM16404",0,0,0,0,0,0,0,0,0,0,0,0
