"Gene.names","Podo","PT.A","PT.B","PT.C","DL","tAL","TAL","DCT","CNT","PC","IC.PC","IC.A","IC.B","vSMC","Mono","Macro","NKcell","Tcell","Bcell","AVR","AEA.DVR","GC","Peri","Mesangial"
"TET1",19.8720241643814,0.128166645348281,1.89512983218625,1.11674321941436,1.46898099726182,0.416432423428488,3.74298891389067,3.09886089316746,1.48093737412032,2.09603179261023,1.51728076582622,0.329879875892593,0,5.89654627491586,0,0,9.02751134081112,0,0,7.49269930111847,2.80299696435429,4.99079554706962,14.2265049271129,15.6992032654343
"CCAR1",59.6160724931442,16.0208306685352,48.6416656927805,61.4208770677897,39.6624869260691,51.221188081704,58.2242719938548,45.4499597664561,42.2067151624292,41.9206358522046,40.6631245241428,35.7919665343464,52.1462528571801,54.2482257292259,25.4753271456594,38.6624984811161,40.62380103365,18.1519735084912,14.9354043760735,51.3249902126615,49.9867791976515,48.4820138858191,40.3084306268198,0
"STOX1",0,4.61399923253813,1.26341988812417,0,1.46898099726182,4.16432423428488,6.23831485648445,3.09886089316746,2.96187474824065,3.14404768891535,4.85529845064392,5.77289782812038,4.34552107143168,3.53792776494951,0,0,0,0,0,0.374634965055924,1.40149848217714,0,0,7.84960163271714
"DDX50",39.7440483287628,18.9686635115456,22.741557986235,22.3348643882872,22.0347149589273,27.4845399462802,13.9322365128153,14.1170329577629,16.2903111153236,16.7682543408818,19.1177376494104,16.4939937946297,30.4186475000217,30.6620406295625,18.6819065734836,19.3312492405581,36.1100453632445,36.3039470169825,14.9354043760735,24.725907693691,32.2344650900743,36.3615104143644,33.1951781632634,31.3984065308686
"DDX21",79.4880966575255,49.3441584590883,310.169582534483,251.26722436823,110.173574794636,127.428321569117,48.2429682234797,47.1715491515491,77.749212141317,121.569843971393,81.3262490482856,59.3783776606668,39.1096896428851,143.875729107947,217.389458309627,227.142178576557,130.898914441761,215.230543029253,328.578896273617,400.484777644782,313.468493846955,251.678689730796,334.322865787153,384.63048000314
"KIF1BP",59.6160724931442,14.7391642150524,11.3707789931175,18.9846347300441,17.6277719671418,15.8244320902825,14.9719556555627,10.6738541875768,6.66421818354145,20.9603179261023,10.0140530544531,14.8445944151667,30.4186475000217,29.4827313745793,8.49177571521981,5.52321406873088,0,2.5931390726416,0,18.3571132877403,23.3583080362857,25.6669485277866,23.7108415451881,39.2480081635857
"SRGN",19.8720241643814,23.8389960347803,58.1173148537118,189.846347300441,10.2828669808327,32.4817290274221,6.65420251358341,7.23067541739074,4.44281212236097,49.2567471263404,11.8347899734446,3.95855851071112,8.69104214286335,579.040844196737,5465.30685031547,5104.83060302451,1909.31864858155,2069.324979968,253.901874393249,418.092621002411,1454.75542449988,526.885415612064,583.286702011628,839.907374700734
"VPS26A",79.4880966575255,52.8046578834919,46.1148259165322,50.2534448736461,47.0073919123782,52.4704853519895,24.9532594259378,29.9556553006188,33.3210909177073,50.3047630226455,45.821879127952,43.2142637419297,56.4917739286118,54.2482257292259,45.855588862187,53.851337170126,49.6513123744612,36.3039470169825,29.870808752147,50.2010853174938,43.9136191082172,42.778247546311,35.5662623177822,94.1952195926057
"SUPV3L1",0,8.58716523833485,15.7927486015521,7.8172025359005,4.40694299178546,6.24648635142732,8.73364079907823,11.0181720645954,8.88562424472194,16.7682543408818,10.0140530544531,9.07169658704631,0,4.71723701993268,3.39671028608792,11.0464281374618,36.1100453632445,10.3725562905664,29.870808752147,8.61660419628624,7.47465857161143,13.5464450563318,11.8554207725941,0
"RP11-227H15.4",0,0,0,0,0,0.416432423428488,0,0.344317877018607,0,0,0,0,0,0,0,0,0,0,0,0.374634965055924,0,0,0,0
