"Gene.names","POD","PEC","PT_S1_S2","PT_S3","DTL1","ATL","M_TAL","C_TAL","DCT1","DCT2","CNT","CNT_PC","CNT_IC_A","CCD_PC","IC_A","IC_B","PC","IMCD","FIB","MYOF","VSMC","VSMC_P","MON","ncMON","MDC","MAC_M2","MAST","NK1","NKT","T","T_CYT","B","PL","EC_AVR","EC_AEA","EC_PTC","EC_GC","EC_LYM","MC","REN"
"TNFRSF21",13.4167757400843,22.3581455515275,53.969540773559,32.9092751120207,27.9346060968119,23.938752642402,34.8919115709385,29.719414854624,9.45290811966224,10.9838083514819,14.3455627229337,20.0251148315179,20.0579415699221,17.573153419684,20.2775806346327,13.6855632361978,26.1636273252924,9.04579814651596,1.93294609979801,6.8598774002711,13.5214314688782,16.6497625327619,15.7278809438194,14.6888174033109,34.7376082963701,36.1798350625166,15.1890274465726,8.48491939549862,24.1807871716733,13.4758044381459,8.49420755717512,20.5634979582905,14.1798381607805,22.7232518921165,25.4499213510669,14.8213505763584,5.3237679026484,14.480000891077,34.6453661822731,0
"AL451166.1",0,1.06467359769179,0.28605763660897,0.543954960529268,0.224374346159132,0.589624449320246,0.468347806321322,0.305127462573142,0,0.378752012120064,0.243145130897181,0,0.323515186611648,0.147673558148605,0,0,0.25525490073456,0.291799940210192,0,0,0,0.92498680737566,0.215450423887936,0,0.107214840420895,0,0,0.446574705026243,0,0.183760969611081,0,0,0,0,0.289203651716669,0.182979636745166,0,0,0,0
"AL355353.1",14.9075286000936,12.7760831723015,12.1097732831131,14.142828973761,16.4915144426962,15.9198601316466,14.5968399636812,14.1884270096511,17.1695678091824,12.8775684120822,14.3455627229337,17.8001020724603,13.2641226510775,14.9150293730091,8.88880246997599,9.57989426533844,17.9954705017865,69.7401857102359,3.86589219959601,5.48790192021688,4.50714382295939,13.4123087069471,9.26436822718127,11.0166130524831,3.75251941473134,11.4924181963288,37.9725686164315,9.3780688055511,15.1532932942486,8.3917509455727,8.49420755717512,14.5285583400966,13.3920693740704,14.066774980834,12.7249606755335,10.7957985679648,5.3237679026484,8.91076977912429,7.69897026272736,0
"CD2AP",222.122176141395,122.437463734556,79.9054331594389,78.3295143162146,92.2178562714032,90.0946158561335,89.4544310073724,80.218009910479,73.8870165271559,117.0343717451,128.380629113712,95.1192954497098,102.877829342504,108.244718122927,64.1660428301392,49.268027650312,102.357215194558,279.106642811049,36.7259758961621,23.3235831609217,49.5785820525533,69.3740105531745,61.187920384174,62.4274739640711,46.5312407426686,73.2109603617983,37.9725686164315,76.3642745594875,88.0180653048907,65.0513832423227,51.5719744542775,76.4425684971234,44.1150520557614,77.3672623945871,97.1724269768009,82.7067958088148,89.9125245780618,80.1969280121186,92.3876431527283,103.369857349597
"ADGRF2",0,0,0,0,0.112187173079566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182979636745166,0,0,0,0
"ADGRF4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12762745036728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591529766960933,0,0,0
"AL356421.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPN5",0,1.06467359769179,0.0953525455363233,0,0,0,0,0.0305127462573142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107214840420895,0,0,0,0,0.061253656537027,0,0.447032564310664,0,0,0,0.182979636745166,0.591529766960933,0,0,0
"PTCHD4",2.98150572001872,4.25869439076715,1.04887800089956,1.6318648815878,1.68280759619349,2.83019735673718,3.90289838601101,1.46461182035108,2.70083089133207,12.8775684120822,2.43145130897181,1.66875956929316,1.94109111966989,1.47673558148605,1.6666504631205,2.73711264723955,1.78678430514192,0.437699910315288,0,0,0,1.38748021106349,1.50815296721556,7.34440870165543,0.321644521262686,0.851290236765097,0,1.33972411507873,0.32241049562231,1.89886335264784,0,1.34109769293199,0.787768786710025,9.73853652519278,2.31362921373336,0.731918546980662,8.28141673745306,3.34153866717161,15.3979405254547,0
"AL353138.1",0,5.32336798845894,0.28605763660897,0.271977480264634,0.897497384636528,0.943399118912393,1.79533325756507,0.793331402690168,0.964582461190025,2.27251207272039,0.972580523588725,1.66875956929316,0.323515186611648,1.03371490704023,0.694437692966874,0,0.638137251836399,0,1.93294609979801,2.74395096010844,4.50714382295939,1.84997361475132,0.646351271663809,5.50830652624157,0.214429680841791,0,0,0,0,0.245014626148108,0,0.894065128621327,0,1.08205961391031,0.867610955150009,1.46383709396132,4.73223813568746,2.22769244478107,0,0
"AL391538.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMUT",38.7595743602434,35.134228723829,54.6370085923132,43.5163968423415,48.2404844242134,37.2642651970395,51.2060268244645,51.7496176524048,52.6662023809753,40.5264652968469,39.6326563362405,33.9314445756275,38.8218223933977,39.4288400256775,34.0274469553768,49.268027650312,41.6065488197332,31.9520934530161,19.3294609979801,21.9516076808675,40.5642944066345,41.1619129282169,27.14675340988,29.3776348066217,13.5090698930328,28.0925778132482,45.5670823397178,29.9205052367583,35.1427440228318,25.7877894020884,23.0557062266182,34.4215074519211,25.9963699614308,40.5772355216366,34.4152345542837,34.217192071346,20.7035418436327,30.0738480045445,50.0433067077278,103.369857349597
"CENPQ",22.3612929001404,6.38804158615073,4.48156964020719,3.53570724344024,7.74091494249005,7.193418281707,4.76153603093344,4.48537369982518,4.0512463369981,4.54502414544077,3.8903220943549,5.56253189764385,10.3524859715727,7.53135146557884,8.33325231560249,4.10566897085933,5.1050980146912,7.29499850525481,3.86589219959601,8.23185288032532,4.50714382295939,10.1748548811323,7.75621525996571,1.83610217541386,6.32567558483283,10.2154828411812,15.1890274465726,8.03834469047237,4.83615743433465,6.30912662331378,10.9211240020823,8.94065128621327,5.51438150697018,8.65647691128247,8.67610955150009,9.51494111074861,7.68988697049213,14.480000891077,3.84948513136368,0
"GLYATL3",0,0,0,0,0,0,0,0.0305127462573142,0,0,0.243145130897181,0,0,0.147673558148605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C6orf141",0,0,0.190705091072647,0,0,0.117924889864049,0.0780579677202203,0,0.192916492238005,0,0,0,0,0.29534711629721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061253656537027,0,0,0,12.4436855599686,0,2.56171491443232,0,3.34153866717161,0,0
"RHAG",0,0,0.0953525455363233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12762745036728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787768786710025,0,0,0,0,0,0,0
"CRISP2",2.98150572001872,1.06467359769179,1.04887800089956,1.6318648815878,1.23405890387523,1.53302356823264,1.48310138668418,1.03743337274868,6.55916073609217,5.3025281696809,0.972580523588725,1.11250637952877,0.323515186611648,1.47673558148605,0.694437692966874,0,1.02101960293824,2.33439952168154,1.93294609979801,2.74395096010844,0,0.92498680737566,0.430900847775873,0,0,0.425645118382549,0,0.446574705026243,1.28964198248924,1.16381947420351,0,2.01164653939799,2.36330636013008,0.541029806955155,1.44601825858335,0.914898183725828,0,1.11384622239054,0,0
"AL121974.1",0,0,0.0953525455363233,4.62361716449878,0.224374346159132,0.235849779728098,0.156115935440441,0.305127462573142,0,1.13625603636019,0,0,0,0.443020674445814,0,0,0.12762745036728,0,0,0,0,0,0,0,0,0.425645118382549,0,0,0,0.061253656537027,0,0,0,0.541029806955155,0.578407303433339,0.365959273490331,0,2.22769244478107,0,0
"CRISP3",0,0,0,0,0,0,0,0,0,0,0,3.6156457334685,0,0,0,0,1.2762745036728,25.3865947982867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CRISP1",0,0,0,0,0.112187173079566,0,0,0,0,0,0,0,0,0,0,0,0,0.291799940210192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEFB110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL138826.1",4.47225858002809,7.45271518384251,118.332509010577,53.5795636121329,26.5883600198571,22.0519544045772,19.2803180268944,17.6363673367276,12.5395719954703,20.0738566423634,17.0201591628027,15.5750893134028,4.85272779917471,6.94065723298443,8.47213985419586,4.10566897085933,26.9293920274961,0,3.86589219959601,4.11592644016266,13.5214314688782,18.4997361475132,12.0652237377244,1.83610217541386,0.750503882946268,10.6411279595637,0,8.93149410052486,11.9291883380255,8.14673631942459,5.46056200104115,8.94065128621327,8.66545665381028,10.2795663321479,25.1607176993502,16.8341265805552,3.5491786017656,18.9353857806391,0,51.6849286747984
"AL132799.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL360175.1",0,0,0,0,0.112187173079566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787768786710025,0,0,0,0,0,0,0
"AL135908.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TFAP2D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TFAP2B",13.4167757400843,18.0994511607604,9.8213121902413,22.8461083422293,20.3058783274014,19.9293063870243,33.7210420551352,45.2198899533396,30.2878892813668,30.3001609696051,24.8008033515125,20.3032414264001,15.2052137707474,37.8044308860428,14.0276413979309,9.57989426533844,24.1215881194159,14.8817969507198,1.93294609979801,9.60382836037954,0,24.9746437991428,15.5124305199314,14.6888174033109,5.14631234020298,8.51290236765097,37.9725686164315,12.0575170357086,19.9894507285832,13.9045800339051,10.3143948908555,17.2107537259605,16.5431445209105,19.4770730503856,17.3522191030002,19.0298822214972,2.36611906784373,17.8215395582486,0,0
"AL355997.1",0,1.06467359769179,0.381410182145293,0.271977480264634,0.56093586539783,1.17924889864049,1.95144919300551,1.34256083532182,0.77166596895202,2.27251207272039,1.21572565448591,1.94688616417535,0.647030373223295,1.62440913963465,0,2.73711264723955,0.765764702203679,0,0,0,0,0.46249340368783,0.646351271663809,0,0,0.425645118382549,0,0,1.61205247811155,0.428775595759189,0,0.894065128621327,0.787768786710025,0.541029806955155,1.15681460686668,0.548938910235497,0,0,0,0
"PKHD1",220.631423281386,431.192807065174,151.610547402754,250.491259323728,394.337913374674,284.906533911543,402.310765630015,307.202329318639,175.93984092106,578.733074519458,422.586237499301,289.25165867748,292.457728696929,490.276213053368,108.887830257206,87.5876047116657,321.621174925545,190.983060867571,162.367472383033,100.154210043958,166.764321449497,191.934762530449,171.28308699091,214.823954523421,51.6775530828716,220.058526203778,220.240897975303,162.999767334579,247.611260637934,191.172662052061,111.031427354503,228.210124080594,181.186820943306,160.685852665681,274.743469130836,220.490462277924,61.519095763937,209.403089809421,211.721682225002,0
"IL17A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857551191518378,0,0,0,0,0,0,0,0,0,0
"IL17F",0,0,0.0953525455363233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245014626148108,0,0,0,0,0,0,0,0,0,0
